utc_time,ra_deg,dec_deg,az_cmd_deg,el_cmd_deg,az_rate_dps,el_rate_dps
2026-08-17T01:36:00.499039,42.226989521320135,-78.87059655065556,-187.5516412157494,-38.75268527364184,-0.06106156969325553,-0.007008347157869761
2026-08-17T01:36:15.499039,40.108854104653474,-78.31742988398891,-188.42381829089678,-38.92693589596074,-0.06127907320929561,-0.006744360622435982
2026-08-17T01:36:30.499039,37.9907186879868,-77.76426321732222,-189.3276418691634,-39.05571693786797,-0.06130119452907128,-0.006652637180872922
2026-08-17T01:36:45.499039,35.87258327132014,-77.21109655065555,-190.25900991513456,-39.137096296076066,-0.06116003772023457,-0.0067569129140878795
2026-08-17T01:37:00.499039,33.77916102835417,-76.65584893756619,-191.21048614666248,-39.17493813758426,-0.06091108666334435,-0.00705355180358224
2026-08-17T01:37:15.499039,32.403848528354175,-76.04013365978844,-192.0950184010741,-39.3333773317039,-0.061078571299938746,-0.006816335593039528
2026-08-17T01:37:30.499039,31.028536028354168,-75.42441838201066,-193.00029131051397,-39.456765535468705,-0.06109644573176496,-0.006735502581873831
2026-08-17T01:37:45.499039,29.653223528354165,-74.80870310423286,-193.9238238256012,-39.54420567224458,-0.06098618288436626,-0.0068236106020515665
2026-08-17T01:38:00.499039,28.293893791993753,-74.19185574724213,-194.86097161535062,-39.59911149007171,-0.060784965103237214,-0.007071857719357588
2026-08-17T01:38:15.499039,27.398987541993755,-73.54211269168658,-195.75324684688943,-39.74489616712548,-0.06088655818502105,-0.006886821951656922
2026-08-17T01:38:30.499039,26.50408129199375,-72.89236963613101,-196.65921535697518,-39.86397724769283,-0.06089383455860495,-0.006822448352795677
2026-08-17T01:38:45.499039,25.60917504199375,-72.24262658057546,-197.5773518612585,-39.955929568322254,-0.06081928739004023,-0.006884419062703925
2026-08-17T01:39:00.499039,24.724725738372918,-71.59227035395232,-198.50468195905083,-40.023561063907174,-0.0606849433722554,-0.007063108613246823
2026-08-17T01:39:15.499039,24.14413198837292,-70.9240967428412,-199.40140538327657,-40.15979596590273,-0.06074355411365388,-0.006922943017565508
2026-08-17T01:39:30.499039,23.563538238372917,-70.2559231317301,-200.30755145754668,-40.275459337804186,-0.060745012697334747,-0.006870579983398883
2026-08-17T01:39:45.499039,22.982944488372915,-69.58774952061898,-201.22213831240603,-40.37033595976905,-0.060696488457262866,-0.006908563629877603
2026-08-17T01:40:00.499039,22.409414219552083,-68.91925731007223,-202.14316482002133,-40.446684523661325,-0.06061092219395429,-0.007028630207106386
2026-08-17T01:40:15.499039,22.041132969552088,-68.24150731007224,-203.0424733405279,-40.57564932923334,-0.06064566932593181,-0.006919971958552651
2026-08-17T01:40:30.499039,21.672851719552085,-67.56375731007222,-203.9486168806554,-40.688446845700696,-0.060645561247189526,-0.006874428904076405
2026-08-17T01:40:45.499039,21.304570469552083,-66.88600731007222,-204.86093047613005,-40.78495720390757,-0.06061484652794983,-0.006893161039896493
2026-08-17T01:41:00.499039,20.941233864310416,-66.20811568465231,-205.7779926223254,-40.86699668875994,-0.060561353696354084,-0.006969629926841492
2026-08-17T01:41:15.499039,20.72157761431042,-65.52610874020789,-206.67888570238838,-40.99019260092905,-0.06058407149509908,-0.006881530240522101
2026-08-17T01:41:30.499039,20.50192136431042,-64.84410179576344,-207.58501880720942,-41.100390806293355,-0.06058516203444147,-0.006839028717395124
2026-08-17T01:41:45.499039,20.282265114310416,-64.16209485131898,-208.49591989576,-41.19751528455663,-0.060567254714982255,-0.0068426536696734415
2026-08-17T01:42:00.499039,20.066191201909724,-63.48005648590046,-209.41052726358382,-41.283040114882304,-0.06053525945960037,-0.0068873690797296066
2026-08-17T01:42:15.499039,19.95421203524306,-62.79710509701158,-210.31256191993978,-41.401432958095995,-0.06055266723912496,-0.00681231787521277
2026-08-17T01:42:30.499039,19.84223286857639,-62.114153708122686,-211.21883632478838,-41.50913029178811,-0.0605564433874207,-0.006770543510941944
2026-08-17T01:42:45.499039,19.73025370190972,-61.43120231923379,-212.12900104192792,-41.60607564426838,-0.0605482841051194,-0.006762271771959997
2026-08-17T01:43:00.499039,19.620954443984026,-60.74829274796481,-213.04222375747744,-41.69348097832749,-0.060531367371352,-0.006783642537822843
2026-08-17T01:43:15.499039,19.589527360650695,-60.06659830352037,-213.94520577108332,-41.80767074595458,-0.06054707864965062,-0.006716546916499647
2026-08-17T01:43:30.499039,19.55810027731736,-59.38490385907592,-214.85179201369985,-41.91285602760639,-0.060554111341374534,-0.006673976660465305
2026-08-17T01:43:45.499039,19.526673193984028,-58.70320941463147,-215.76171398837434,-42.00898789719183,-0.06055359798561805,-0.006656006267408661
2026-08-17T01:44:00.499039,19.497309844848612,-58.02160669170694,-216.67429134814606,-42.097077219421045,-0.060547655794560264,-0.0066596730960543
2026-08-17T01:44:15.499039,19.527914011515282,-57.34266919170695,-217.57821135789786,-42.20741858807595,-0.06056382406916706,-0.006597222244155295
2026-08-17T01:44:30.499039,19.558518178181945,-56.66373169170694,-218.48532968575333,-42.31000749104395,-0.06057445683670769,-0.0065529694650762116
2026-08-17T01:44:45.499039,19.58912234484861,-55.984794191706946,-219.3954328002021,-42.40479639635742,-0.060580329250463666,-0.00652691115712513
2026-08-17T01:45:00.499039,19.621359824575695,-55.30598445493241,-220.30794245282468,-42.49264174985401,-0.060582879195899865,-0.006516770940024171
2026-08-17T01:45:15.499039,19.701057741242362,-54.630887232710194,-221.21286465938343,-42.59933741525322,-0.060600653955202685,-0.006456903982370044
2026-08-17T01:45:30.499039,19.78075565790903,-53.955790010487966,-222.12072683410483,-42.69921236341553,-0.06061492624381089,-0.006410576565159332
2026-08-17T01:45:45.499039,19.860453574575693,-53.28069278826574,-223.03135349843004,-42.792217236046845,-0.06062623421250161,-0.006377744186398241
2026-08-17T01:46:00.499039,19.941477756695832,-52.605749898475,-223.94423685165398,-42.879089732223946,-0.06063556285925529,-0.006356653983756644
2026-08-17T01:46:15.499039,20.061040256695836,-51.935291565141675,-224.85028983252218,-42.98224706596036,-0.060655425753547355,-0.0062979665083328605
2026-08-17T01:46:30.499039,20.180602756695833,-51.26483323180833,-225.7591208350107,-43.07927667886307,-0.06067311406966193,-0.006249319585416894
2026-08-17T01:46:45.499039,20.300165256695834,-50.594374898474996,-226.67058090570228,-43.17012569872521,-0.060689001691845115,-0.0062106476561102275
2026-08-17T01:47:00.499039,20.42083084081875,-49.92409238397453,-227.58420999593542,-43.255440227904806,-0.060703761122006955,-0.006180606962273968
2026-08-17T01:47:15.499039,20.57354959081875,-49.258918772863424,-228.4915157498091,-43.35509339625316,-0.06072576841370818,-0.006122261835844315
2026-08-17T01:47:30.499039,20.72626834081875,-48.59374516175231,-229.4015005224642,-43.44913071366556,-0.06074646929819683,-0.0060712816768340614
2026-08-17T01:47:45.499039,20.878987090818747,-47.9285715506412,-230.3140337014514,-43.53749495478007,-0.06076611916803927,-0.006027590860424148
2026-08-17T01:48:00.499039,21.032645351047222,-47.263591317142584,-231.22868818629482,-43.62076256769682,-0.060785175814718664,-0.00599016529246601
2026-08-17T01:48:15.499039,21.21360368438056,-46.60423020603148,-232.13738204216716,-43.716918486261676,-0.06080933632168429,-0.005931557227620902
2026-08-17T01:48:30.499039,21.394562017713888,-45.944869094920364,-233.0486971507943,-43.807830480083155,-0.060832746965279225,-0.005878226219003284
2026-08-17T01:48:45.499039,21.575520351047224,-45.285507983809254,-233.962515205867,-43.893436601976106,-0.060855574097598245,-0.0058300929933038145
2026-08-17T01:49:00.499039,21.757295860743056,-44.62635572976111,-234.87843109370166,-43.97426006300073,-0.06087812056912914,-0.0057863915801053285
2026-08-17T01:49:15.499039,21.96281669407639,-43.97327239642779,-235.78863610841123,-44.06688026356767,-0.06090425626042683,-0.005727189511129597
2026-08-17T01:49:30.499039,22.168337527409722,-43.320189063094446,-236.7014301582977,-44.154517859945955,-0.06092998307348315,-0.0056716077172661505
2026-08-17T01:49:45.499039,22.373858360743053,-42.66710572976111,-237.61670259316318,-44.23710611397653,-0.06095539804425745,-0.00561956714229345
2026-08-17T01:50:00.499039,22.580105919620138,-42.01424534672176,-238.53406265459031,-44.31512955730946,-0.060980689407730417,-0.005570518622932615
2026-08-17T01:50:15.499039,22.80747050295347,-41.36786340227732,-239.44589279341838,-44.40418122759723,-0.061008484313284345,-0.005510764731582363
2026-08-17T01:50:30.499039,23.034835086286805,-40.72148145783287,-240.3602951196123,-44.48842340615509,-0.06103606293086917,-0.005453299806078189
2026-08-17T01:50:45.499039,23.262199669620138,-40.07509951338842,-241.2771629711779,-44.56778465905132,-0.06106346680597928,-0.005398047351244214
2026-08-17T01:51:00.499039,23.490223746854166,-39.428954381432405,-242.19611382262931,-44.64272229775264,-0.06109080071320534,-0.005344632260718048
2026-08-17T01:51:15.499039,23.737411246854165,-38.78969049254352,-243.1096542260054,-44.72817203135755,-0.061119923093149474,-0.0052842248288489085
2026-08-17T01:51:30.499039,23.984598746854168,-38.15042660365463,-244.025757710002,-44.80891383667534,-0.06114890751828739,-0.005225015376330215
2026-08-17T01:51:45.499039,24.231786246854163,-37.51116271476574,-244.9443186098807,-44.884871796125836,-0.061177749524390874,-0.005166931695041417
2026-08-17T01:52:00.499039,24.4795829903,-36.87214926952315,-245.86495874017496,-44.95648542859563,-0.061206495834088534,-0.005109748969789981
2026-08-17T01:52:15.499039,24.745082990300002,-36.24041315841204,-246.78028356459632,-45.0382882070591,-0.06123668291548275,-0.005048765125252549
2026-08-17T01:52:30.499039,25.010582990299998,-35.60867704730093,-247.69816402180678,-45.11542525131472,-0.06126672687504661,-0.004988072651176978
2026-08-17T01:52:45.499039,25.2760829903,-34.97694093618982,-248.6184929141048,-45.18781646245629,-0.06129658416515582,-0.004927604837936824
2026-08-17T01:53:00.499039,25.542156192040277,-34.34546936195602,-249.54089332271994,-45.25589217412744,-0.061326254681424074,-0.004867264175071343
2026-08-17T01:53:15.499039,25.824885358706947,-33.7216846397338,-250.45805617586333,-45.33402384638786,-0.06135707884994967,-0.004805844925716644
2026-08-17T01:53:30.499039,26.107614525373613,-33.09789991751158,-251.3777649350076,-45.407482554816575,-0.0613876900828861,-0.0047439560171808285
2026-08-17T01:53:45.499039,26.39034369204028,-32.47411519528936,-252.2999087096994,-45.476184376678255,-0.061418011026420534,-0.004681537241976841
2026-08-17T01:54:00.499039,26.67362006883264,-31.85061002732176,-253.2241093019458,-45.54055712960419,-0.06144801117059728,-0.004618597259100691
2026-08-17T01:54:15.499039,26.972797152165978,-31.23522808287732,-254.1431330265903,-45.614989598145094,-0.061479138559726705,-0.004556757906398386
2026-08-17T01:54:30.499039,27.271974235499307,-30.61984613843287,-255.06468683175314,-45.68469997337642,-0.06150992755035389,-0.004493800014081669
2026-08-17T01:54:45.499039,27.571151318832637,-30.004464193988422,-255.98865423727528,-45.74960093149351,-0.06154027090659421,-0.004429670841437172
2026-08-17T01:55:00.499039,27.87085793799375,-29.389377514285645,-256.9146546631916,-45.81012384521952,-0.0615701190986537,-0.0043644826264061486
2026-08-17T01:55:15.499039,28.185951687993754,-28.782870569841204,-257.83555280303057,-45.880834795155664,-0.061601238861289195,-0.0043025767211942656
2026-08-17T01:55:30.499039,28.501045437993753,-28.17636362539676,-258.75895624105004,-45.946738556506375,-0.061631858757849996,-0.00423899736697783
2026-08-17T01:55:45.499039,28.81613918799375,-27.569856680952313,-259.68474121849073,-46.007744877650715,-0.06166184510448242,-0.004173699986123758
2026-08-17T01:56:00.499039,29.131752423730557,-26.963662328992594,-260.61252359378426,-46.064295044772926,-0.06169113698534356,-0.0041068860743030434
2026-08-17T01:56:15.499039,29.462460757063894,-26.366551217881486,-261.535281689945,-46.131298804688406,-0.061721932915353744,-0.004045187328337007
2026-08-17T01:56:30.499039,29.79316909039722,-25.769440106770368,-262.46050988269513,-46.19337965741376,-0.061752036392522316,-0.003981336985515386
2026-08-17T01:56:45.499039,30.123877423730555,-25.172328995659257,-263.3880756498132,-46.25044492982836,-0.061781290150577206,-0.0039152993627765776
2026-08-17T01:57:00.499039,30.455100044477778,-24.57554895995879,-264.3175911014328,-46.30295017413589,-0.061809628112558815,-0.0038473481283721376
2026-08-17T01:57:15.499039,30.801266711144446,-23.988389237736573,-265.24218475287313,-46.366257274556105,-0.061839767327460035,-0.0037858988263428967
2026-08-17T01:57:30.499039,31.14743337781111,-23.401229515514352,-266.1692006081528,-46.42449899476822,-0.06186898912125922,-0.003721883018165843
2026-08-17T01:57:45.499039,31.49360004447778,-22.81406979329213,-267.09849603656,-46.477580801183905,-0.061897115080836326,-0.0036552748140691095
2026-08-17T01:58:00.499039,31.84027995889375,-22.227261477699077,-268.0296789672913,-46.52597682017758,-0.061924088097694605,-0.003586419916430946
2026-08-17T01:58:15.499039,32.20187370889376,-21.650664255476855,-268.9560537692402,-46.58560666384955,-0.06195347188516867,-0.0035254846428251457
2026-08-17T01:58:30.499039,32.56346745889375,-21.07406703325463,-269.88478857724624,-46.64000561959366,-0.06198169404596949,-0.003461622920228476
2026-08-17T01:58:45.499039,32.92506120889375,-20.49746981103241,-270.81572945951353,-46.689077907516655,-0.06200855739105388,-0.0033948193363655694
2026-08-17T01:59:00.499039,33.287171325636805,-19.921245481840742,-271.74848167315616,-46.7333205641076,-0.062034012098369826,-0.0033254813129359444
2026-08-17T01:59:15.499039,33.66428590897014,-19.355856592951856,-272.6766013790933,-46.78931543169512,-0.062062374408415145,-0.0032652525730860896
2026-08-17T01:59:30.499039,34.041400492303474,-18.790467704062962,-273.60700389366906,-46.83989374519564,-0.06208931424669022,-0.0032017888681933116
